Epochs;Steps;GeneratorLoss;DiscriminatorLoss
0;0;  0.06910058498382568 ; 0.003688204288482666
1;200;  6.063591446876523 ; 0.24261558070778858
3;400;  5.08253139257431 ; 0.22880025923252115
5;600;  4.394299553632736 ; 0.2319425044208766
7;800;  4.223511686325075 ; 0.2283970860391855
9;1000;  4.123389290571215 ; 0.22724109031260015
11;1200;  4.0471050632 ; 0.24437463425099845
13;1400;  3.7369380033016206 ; 0.2556236474215982
14;1600;  3.5568470215797428 ; 0.2510175412893295
16;1800;  3.6909563994407653 ; 0.24776067748665817
18;2000;  3.658452826738357 ; 0.2437025928497316
20;2200;  3.46982545018196 ; 0.24022566251456745
22;2400;  3.6189111018180866 ; 0.2421104812622071
24;2600;  3.3156029653549193 ; 0.24740172706544417
26;2800;  3.270061404705046 ; 0.24546485960483552
28;3000;  3.405856468677522 ; 0.24312855534255504
29;3200;  3.1720941627025594 ; 0.2356418731063605
31;3400;  3.168506579399109 ; 0.22240208141505716
33;3600;  3.144664008617401 ; 0.22654519408941265
35;3800;  3.0948732292652124 ; 0.21330487087368968
37;4000;  3.128894972801209 ; 0.21341715835034847
39;4200;  3.04594493508339 ; 0.2185570452362299
41;4400;  3.126857606172563 ; 0.21367076449096187
42;4600;  3.1515369248390193 ; 0.22190200142562402
44;4800;  3.08695163488388 ; 0.2183625335991384
46;5000;  3.196952359676361 ; 0.21866420231759556
48;5200;  3.1815354692935927 ; 0.21829242929816234
50;5400;  3.147912027835846 ; 0.21788399949669837
52;5600;  3.1481765103340154 ; 0.3169474275410178
54;5800;  2.9784190118312837 ; 0.2524812321364879
56;6000;  2.773358606100082 ; 0.25081866443157197
57;6200;  2.6283113455772393 ; 0.2508614755421877
59;6400;  2.8306849539279932 ; 0.2502184611558913
61;6600;  2.8070171248912805 ; 0.24997845083475112
63;6800;  2.5089354336261738 ; 0.2492922823131083
65;7000;  2.5035532057285326 ; 0.24916904650628574
67;7200;  2.6663928008079525 ; 0.2484516222774983
69;7400;  2.7778850245475772 ; 0.24860437139868732
71;7600;  2.765083931684496 ; 0.24758451037108897
72;7800;  2.7461239957809465 ; 0.2480088306963444
74;8000;  2.695962728261948 ; 0.24691765159368526
76;8200;  2.6865042853355394 ; 0.2463380412012338
78;8400;  2.429111860394477 ; 0.24588088579475864
80;8600;  2.368604991436004 ; 0.2446133322268724
82;8800;  2.3390528261661534 ; 0.24328833676874642
84;9000;  2.35492017865181 ; 0.24228174336254596
85;9200;  2.408084916472436 ; 0.24114497631788254
87;9400;  2.5566047573089574 ; 0.23988989382982237
89;9600;  2.6589632737636566 ; 0.23616590768098847
91;9800;  2.464893318414688 ; 0.23768906049430377
93;10000;  2.3010928583145134 ; 0.23645239904522902
95;10200;  2.284891338348387 ; 0.2318847493082284
97;10400;  2.4721712493896493 ; 0.22815324828028677
99;10600;  2.6521834123134598 ; 0.223667338937521
100;10800;  2.6695001411437977 ; 0.22712660945951943
102;11000;  2.686267907619476 ; 0.22015511237084875
104;11200;  2.3693721073865905 ; 0.21983839131891728
106;11400;  2.2553720915317528 ; 0.21765891350805763
108;11600;  2.2354821068048474 ; 0.2165664781630038
110;11800;  2.2502981692552573 ; 0.2163927319645882
112;12000;  2.2698726338148107 ; 0.2164573768526315
114;12200;  2.2231115418672567 ; 0.21505973137915113
